EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DOC,DOCE,DOC_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,DEG C,UMOL/KG,UMOL/KG,,ug/kg,,ug/kg,,DEG C
  320619970113,     1,  7,     19,2,19970113,0000,-76.5006, 168.9990,  732,     19.4,   0.6550,  34.3180,2,    414.7,2,    54.02,2,     9.53,2,     0.09,2,     0.72,2,     0.18,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.6542
  320619970113,     1,  8,     20,2,19970113,0000,-76.5006, 168.9990,  732,     19.8,   0.3240,  34.4250,2,    407.2,2,    61.34,2,    14.02,2,     0.09,2,     1.12,2,     0.74,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.3233
  320619970113,     1, 10,     19,2,19970113,0000,-76.5006, 168.9990,  732,     20.2,   0.0090,  34.4260,2,    397.4,2,    61.73,2,    15.62,2,     0.08,2,     1.22,2,     0.83,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.0083
  320619970113,     1,  1,     20,2,19970113,0000,-76.5006, 168.9990,  732,     20.4,   0.0100,  34.5110,2,    419.8,2,    64.95,2,    14.84,2,     0.06,2,     1.23,2,     0.54,2,   2113.9,2,    244.5,2,        4,     43.9,      1.2,2,    30.97,2,     4.19,2,   0.0093
  320619970113,     1,  4,     19,2,19970113,0000,-76.5006, 168.9990,  732,     20.5,   0.5920,  34.4410,2,    429.2,2,    60.46,2,    11.17,2,     0.09,2,     0.96,2,     0.29,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5912
  320619970113,     1,  5,     11,2,19970113,0000,-76.5006, 168.9990,  732,     23.0,   0.5730,  34.3690,2,   -999.0,9,    56.36,2,     9.76,2,     0.10,2,     0.81,2,      0.3,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5721
  320619970113,     1,  5,     12,2,19970113,0000,-76.5006, 168.9990,  732,     23.0,   0.5760,  34.3680,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5751
  320619970113,     1,  5,     10,2,19970113,0000,-76.5006, 168.9990,  732,     23.2,   0.5640,  34.3690,2,    413.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,    41.66,2,     7.02,2,   0.5631
  320619970113,     1,  7,     18,2,19970113,0000,-76.5006, 168.9990,  732,     25.0,   0.5030,  34.3640,2,    411.1,2,    56.46,2,    11.29,2,     0.08,2,     0.90,2,     0.32,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5020
  320619970113,     1,  8,     19,2,19970113,0000,-76.5006, 168.9990,  732,     25.0,   0.0750,  34.4840,2,    369.8,2,    65.83,2,    19.70,2,     0.08,2,     1.51,2,     1.41,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.0741
