EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  33LK19960415,  AR04,     6,  1,     15,2,19960417,  5.9722, -51.2927,   25,     98.1,  25.1235,  36.4572,2,  36.4601,2,    190.5,2,    189.2,2,     2.08,2,     1.21,2,     0.08,2,     0.09,2,   -9.000,9,   -9.000,9,   2096.6,2,     -9.0,9,   8.0454,    25.00,2,  25.1020
  33LK19960415,  AR04,     6,  1,     14,2,19960417,  5.9722, -51.2927,   25,    172.0,  15.2463,  35.5830,2,  35.5849,2,    160.9,2,    162.1,2,     6.44,2,    13.47,2,     0.01,2,     0.87,2,   -9.000,9,   -9.000,9,   2148.3,2,     -9.0,9,   7.8615,    25.00,2,  15.2199
  33LK19960415,  AR04,     6,  1,     13,2,19960417,  5.9722, -51.2927,   25,    246.5,  10.6315,  34.9954,2,  34.9943,2,    135.8,2,    140.8,2,    12.14,2,    22.93,2,     0.00,2,     1.47,2,   -9.000,9,   -9.000,9,   2199.5,2,     -9.0,9,   7.7283,    25.00,2,  10.6017
  33LK19960415,  AR04,     6,  1,     12,2,19960417,  5.9722, -51.2927,   25,    396.7,   8.2441,  34.7597,2,  34.7723,2,    127.1,2,    126.5,2,    17.81,2,    28.62,2,     0.00,2,     1.87,2,   -9.000,9,   -9.000,9,   2212.3,2,     -9.0,9,   7.6425,    25.00,2,   8.2028
  33LK19960415,  AR04,     6,  1,     11,9,19960417,  5.9722, -51.2927,   25,    595.0,   6.3467,  34.6227,2,  -9.0000,9,     -9.0,4,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   6.2926
  33LK19960415,  AR04,     6,  1,     10,9,19960417,  5.9722, -51.2927,   25,    794.3,   5.1919,  34.6128,2,  -9.0000,9,     -9.0,4,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   5.1256
  33LK19960415,  AR04,     6,  1,      9,2,19960417,  5.9722, -51.2927,   25,    895.6,   4.9581,  34.6471,2,  34.6400,2,    145.1,2,    142.5,2,    30.61,2,    32.11,2,     0.00,2,     2.21,2,    0.030,2,    0.009,2,   2225.8,2,     -9.0,9,   7.5953,    25.00,2,   4.8842
  33LK19960415,  AR04,     6,  1,      8,2,19960417,  5.9722, -51.2927,   25,    994.0,   4.9185,  34.7279,2,  34.8288,2,    153.5,2,    153.0,2,    29.21,2,    30.24,2,     0.00,2,     2.09,2,    0.054,2,    0.013,2,   2223.2,2,     -9.0,9,   7.6164,    25.00,2,   4.8358
  33LK19960415,  AR04,     6,  1,      6,2,19960417,  5.9722, -51.2927,   25,   1094.4,   4.9232,  34.8132,2,  34.8281,2,    166.8,2,    168.2,2,    26.30,2,    27.46,2,     0.00,2,     1.89,2,   -9.000,9,   -9.000,9,   2207.3,2,     -9.0,9,   7.6477,    25.00,2,   4.8313
  33LK19960415,  AR04,     6,  1,      7,2,19960417,  5.9722, -51.2927,   25,   1095.7,   4.9227,  34.8119,2,  34.7262,2,    167.0,2,    168.8,2,    26.21,2,    27.46,2,     0.00,2,     1.89,2,    0.028,2,    0.006,2,   2193.9,3,     -9.0,9,   7.6478,    25.00,2,   4.8309
  33LK19960415,  AR04,     6,  1,      5,2,19960417,  5.9722, -51.2927,   25,   1197.4,   4.8551,  34.9248,2,  34.9374,2,    196.4,2,    198.3,2,    21.80,2,    23.46,2,     0.00,2,     1.60,2,    0.148,2,    0.051,2,   2184.0,2,     -9.0,9,   7.6967,    25.00,2,   4.7541
  33LK19960415,  AR04,     6,  1,      4,2,19960417,  5.9722, -51.2927,   25,   1390.6,   4.6089,  35.0098,2,  35.0109,2,    232.3,2,    234.5,2,    16.70,2,    19.26,2,     0.00,2,     1.29,2,    0.364,2,    0.145,2,   2153.4,3,     -9.0,9,   7.7467,    25.00,2,   4.4921
  33LK19960415,  AR04,     6,  1,      3,2,19960417,  5.9722, -51.2927,   25,   1594.7,   4.2595,  35.0102,2,  35.0040,2,    246.7,2,    249.5,2,    15.98,2,    18.14,2,     0.00,2,     1.20,2,    0.380,2,    0.154,2,   2158.5,2,     -9.0,9,   7.7583,    25.00,2,   4.1274
  33LK19960415,  AR04,     6,  1,      2,2,19960417,  5.9722, -51.2927,   25,   1895.4,   3.6294,  34.9859,2,  34.9829,2,    257.3,2,    260.2,2,    17.61,2,    17.40,2,     0.00,2,     1.17,2,    0.292,2,    0.120,2,   2139.7,3,     -9.0,9,   7.7692,    25.00,2,   3.4772
  33LK19960415,  AR04,     6,  1,      1,2,19960417,  5.9722, -51.2927,   25,   1992.8,   3.6072,  34.9848,2,  34.9818,2,    256.4,2,    260.2,2,    17.98,2,    17.47,2,     0.00,2,     1.19,2,    0.242,2,    0.106,2,   2152.3,2,     -9.0,9,   7.7724,    25.00,2,   3.4461
  33LK19960415,  AR04,     7,  1,     22,2,19960417,  6.0440, -51.2403,   30,      1.1,  27.7713,  36.1591,2,  36.1543,2,    191.1,3,    197.4,2,     2.08,2,     0.18,2,     0.00,2,     0.02,2,   -9.000,9,   -9.000,9,   2000.0,2,    368.9,2,   8.1014,    25.00,2,  27.7710
  33LK19960415,  AR04,     7,  1,     21,2,19960417,  6.0440, -51.2403,   30,     37.6,  27.8145,  36.1643,2,  36.1650,2,    194.1,3,    197.1,2,     2.07,2,     0.16,2,     0.00,2,     0.02,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  27.8057
  33LK19960415,  AR04,     7,  1,     20,2,19960417,  6.0440, -51.2403,   30,     73.3,  27.7084,  36.2679,2,  36.2468,2,    197.8,2,    198.2,2,     2.00,2,     0.17,2,     0.00,2,     0.02,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  27.6912
  33LK19960415,  AR04,     7,  1,     19,2,19960417,  6.0440, -51.2403,   30,    120.5,  24.0639,  36.5610,2,  36.5024,2,    189.5,2,    183.7,2,     2.77,2,     2.69,2,     0.13,2,     0.26,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  24.0383
  33LK19960415,  AR04,     7,  1,     18,2,19960417,  6.0440, -51.2403,   30,    196.0,  11.5870,  35.0943,2,  35.0584,2,    149.7,2,    147.8,2,    11.35,2,    21.62,2,     0.00,2,     1.39,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  11.5620
