EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,2,1,43,2,19831008,0,4.36,-3.928,2815,1908,3.555,34.964,2,240,2,25.5,2,21.1,2,-999,9,1.38,2,-999,9,-0.011,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.4028
  316N19831007, A13.5,2,1,44,2,19831008,0,4.36,-3.928,2815,2058,3.424,34.956,2,243,2,25.5,2,21.1,2,-999,9,1.38,2,-999,9,-0.001,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2596
  316N19831007, A13.5,2,1,44,2,19831008,0,4.36,-3.928,2815,2058,3.424,34.956,2,243,2,25.5,2,21.1,2,-999,9,1.38,2,-999,9,-0.004,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2596
  316N19831007, A13.5,2,1,45,2,19831008,0,4.36,-3.928,2815,2209,3.214,34.949,2,244,2,29.1,2,21.2,2,-999,9,1.38,2,-999,9,-0.009,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.0385
  316N19831007, A13.5,2,1,45,2,19831008,0,4.36,-3.928,2815,2209,3.214,34.949,2,244,2,29.1,2,21.2,2,-999,9,1.38,2,-999,9,0.001,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.0385
  316N19831007, A13.5,2,1,46,2,19831008,0,4.36,-3.928,2815,2359,3.086,34.94,2,244,2,31.3,2,21.3,2,-999,9,1.39,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.8983
  316N19831007, A13.5,2,1,47,2,19831008,0,4.36,-3.928,2815,2562,2.898,34.932,2,244,2,34.3,2,21.6,2,-999,9,1.41,2,-999,9,-0.004,2,-999,9,-999,9,-999,9,-999,-999,-999,9,2.6939
  316N19831007, A13.5,2,1,47,2,19831008,0,4.36,-3.928,2815,2562,2.898,34.932,2,244,2,34.3,2,21.6,2,-999,9,1.41,2,0,2,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.6939
  316N19831007, A13.5,2,1,48,2,19831008,0,4.36,-3.928,2815,2794,2.742,34.921,2,240,2,38.5,2,21.8,2,-999,9,1.43,2,-0.004,2,-0.003,2,2186.1,2,2337,2,780,2,20,-999,-999,9,2.5179
  316N19831007, A13.5,3,1,99,2,19831008,0,3.65,-3.795,3986,1,26.12,34.763,2,207,2,1.3,2,0,2,-999,9,0.02,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,0.27,0.05,2,26.1196
  316N19831007, A13.5,3,1,25,2,19831008,0,3.65,-3.795,3986,2,26.12,34.763,2,207,2,1.3,2,0,2,-999,9,0.02,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,26.1196
  316N19831007, A13.5,3,1,26,2,19831008,0,3.65,-3.795,3986,32,18.295,35.795,2,96,2,4.8,2,15.7,2,-999,9,1.08,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.2894
  316N19831007, A13.5,3,1,27,2,19831008,0,3.65,-3.795,3986,58,16.32,35.679,2,103,2,6.3,2,18.4,2,-999,9,1.21,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,16.3107
  316N19831007, A13.5,3,1,28,2,19831008,0,3.65,-3.795,3986,83,15.786,35.639,2,140,2,6.3,2,16.4,2,-999,9,1.11,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,15.773
  316N19831007, A13.5,3,1,29,2,19831008,0,3.65,-3.795,3986,107,15.375,35.595,2,117,2,7.5,2,18.2,2,-999,9,1.21,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,15.3585
  316N19831007, A13.5,3,1,30,2,19831008,0,3.65,-3.795,3986,131,15.097,35.561,2,130,2,7.4,2,17.1,2,-999,9,1.16,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,15.077
  316N19831007, A13.5,3,1,31,2,19831008,0,3.65,-3.795,3986,157,14.831,35.522,2,119,2,7.7,2,18.6,2,-999,9,1.25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,14.8073
  316N19831007, A13.5,3,1,32,2,19831008,0,3.65,-3.795,3986,206,13.807,35.374,2,73,2,10.5,2,25.3,2,-999,9,1.59,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,13.7774
  316N19831007, A13.5,3,1,33,2,19831008,0,3.65,-3.795,3986,257,11.903,35.161,2,55,2,14.1,2,30.4,2,-999,9,1.86,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,11.8695
  316N19831007, A13.5,3,1,34,2,19831008,0,3.65,-3.795,3986,307,10.12,34.966,2,56,2,16.8,2,33.6,2,-999,9,2.03,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,10.0839
  316N19831007, A13.5,3,1,35,2,19831008,0,3.65,-3.795,3986,382,9.024,34.85,2,62,2,18.3,2,35,2,-999,9,2.13,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,8.9821
  316N19831007, A13.5,3,1,36,2,19831008,0,3.65,-3.795,3986,457,8.026,34.747,2,75,2,20.7,2,35.8,2,-999,9,2.21,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,7.979
  316N19831007, A13.5,3,1,37,2,19831008,0,3.65,-3.795,3986,532,7.031,34.66,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,6.9801
  316N19831007, A13.5,3,1,38,2,19831008,0,3.65,-3.795,3986,608,6.227,34.591,2,102,2,26.1,2,36.9,2,-999,9,2.34,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,6.1723
  316N19831007, A13.5,3,1,39,2,19831008,0,3.65,-3.795,3986,708,5.492,34.552,2,116,2,30.1,2,36.7,2,-999,9,2.37,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,5.4318
  316N19831007, A13.5,3,1,40,2,19831008,0,3.65,-3.795,3986,809,4.971,34.56,2,131,2,31.7,2,35.7,2,-999,9,2.35,2,-0.002,2,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.9048
  316N19831007, A13.5,3,1,40,2,19831008,0,3.65,-3.795,3986,809,4.971,34.56,2,131,2,31.7,2,35.7,2,-999,9,2.35,2,-999,9,-0.011,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.9048
  316N19831007, A13.5,3,1,41,2,19831008,0,3.65,-3.795,3986,908,4.671,34.609,2,142,2,32.8,2,34.3,2,-999,9,2.28,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.5981
