BOTTLE,20140922CDIACAK
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Aug. 19,2002
#original HYD file: a06hy.txt   Mon Aug 19 12:58:19 2002
#original SUM file: a06su.txt   Mon Aug 19 13:04:08 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLA,CHLA_FLAG_W,OXYNIT,OXYNIT_FLAG_W,ARGON,ARGON_FLAG_W,CTDRAW,PHAEO,PHAEO_FLAG_W,THETA,METHAN,METHAN_FLAG_W,AZOTE,AZOTE_FLAG_W
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,UMOL/KG,,UATM,,,,DEG C,UG/L,,NMOL/KG,,UMOL/KG,,DBAR,UG/L,,DEG C,NMOL/KG,,UMOL/KG,
 35A3CITHER1_2,   A06,123,1,14,14,2,19930214,326,5.8255,-51.2517,1275,293.1,10.19,34.981,2,34.983,2,136.2,2,134,2,12.37,2,25.17,2,0,2,1.56,2,0.819,2,0.405,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,300,-999,9,10.1554,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,13,13,2,19930214,326,5.8255,-51.2517,1275,392.6,8.355,34.73,2,34.731,2,146.4,2,144.3,2,15.72,2,28.25,2,0,2,1.78,2,0.598,2,0.299,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,400,-999,9,8.3139,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,12,12,2,19930214,326,5.8255,-51.2517,1275,492.1,7.813,34.746,2,34.748,2,126.5,2,124.2,2,18.22,2,31.4,2,0,2,1.92,2,0.312,2,0.155,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,500,-999,9,7.7631,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,11,11,2,19930214,326,5.8255,-51.2517,1275,591.6,6.668,34.642,2,34.643,2,129.1,2,126.6,2,22.06,2,33.67,2,0,2,2.07,2,0.156,2,0.08,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,600,-999,9,6.6128,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,10,10,2,19930214,326,5.8255,-51.2517,1275,691.7,5.913,34.608,2,34.606,2,133.3,2,131.1,2,25.18,2,34.5,2,0,2,2.15,2,0.079,2,0.038,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,700,-999,9,5.852,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,8,8,2,19930214,326,5.8255,-51.2517,1275,792,5.416,34.61,2,34.609,2,139.2,2,136.9,2,27.69,2,34.49,2,0,2,2.16,2,0.035,2,0.019,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,800,-999,9,5.3486,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,9,9,2,19930214,326,5.8255,-51.2517,1275,793.1,5.377,34.607,2,34.607,2,139.3,2,136.9,2,27.54,2,34.57,2,0,2,2.17,2,0.042,2,0.02,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,801,-999,9,5.3097,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,7,7,2,19930214,326,5.8255,-51.2517,1275,892.1,5.099,34.644,2,34.64,2,146.8,2,143.8,2,28.67,2,33.84,2,0,2,2.11,2,0.026,2,0.006,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,900,-999,9,5.0245,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,6,6,2,19930214,326,5.8255,-51.2517,1275,992.6,4.894,34.704,2,34.707,2,154.9,2,154.9,2,28.2,2,32.16,2,0,2,2.02,2,0.019,2,0.006,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,1000,-999,9,4.8118,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,5,5,2,19930214,326,5.8255,-51.2517,1275,1091.6,4.912,34.801,2,34.803,2,168.2,2,169,2,25.51,2,29.5,2,0,2,1.86,2,0.036,2,0.013,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,1099,-999,9,4.8205,-999,9,-999,9
